,amount,bathrooms,bedrooms,city,finishedSqFt,high,house_number,last-updated,lastSoldDate,lastSoldPrice,latitude,longitude,lotSizeSqFt,low,postcode,road,state,taxAssessment,taxAssessmentYear,useCode,yearBuilt
0,202930,1.5,3,PGH,1440,233369,211,09/24/2019,05/04/2004,90000,40.462029,-80.006377,3195,168432,15214,Belleau Street,Pennsylvania,109600.0,2019,SingleFamily,1992
1,42516,1.0,2,PGH,1440,61223,25,09/24/2019,08/31/2012,20000,40.461602,-80.004656,1800,30612,15214,Lanark Street,Pennsylvania,20000.0,2019,SingleFamily,1940
2,45816,1.0,2,PGH,950,63684,514,09/24/2019,12/30/2002,4000,40.46767,-80.004411,5000,31155,15214,Suffolk Street,Pennsylvania,31900.0,2019,SingleFamily,1930
3,,NA,0,PGH,NA,,1619,01/01/1970,NA,NA,40.46083,-80.005424,690,,15214,Catoma Street,Pennsylvania,300.0,2019,SingleFamily,NA
4,,1.5,3,PGH,1152,,9,01/01/1970,12/05/2006,4000,40.461182,-80.004564,1560,,15214,Lanark Street,Pennsylvania,20000.0,2019,SingleFamily,1901
5,,1.0,4,PGH,1645,,236,01/01/1970,10/23/2007,62800,40.465182,-80.008938,3375,,15214,Lafayette Avenue,Pennsylvania,37500.0,2019,SingleFamily,1900
6,159045,1.5,3,PGH,2094,187673,656,09/24/2019,02/06/1980,15000,40.464631,-80.0013,3750,135188,15212,Toboggan Street,Pennsylvania,95200.0,2019,SingleFamily,1900
7,,1.0,2,PGH,1238,,1612,01/01/1970,03/15/2004,69900,40.460848,-80.00473,2178,,15214,Meadville Street,Pennsylvania,51700.0,2019,SingleFamily,1900
8,,1.5,4,PGH,1634,,1509,01/01/1970,04/20/2009,7810,40.461009,-80.004043,2530,,15212,Myler Street,Pennsylvania,21000.0,2019,SingleFamily,1900
9,87802,1.5,3,PGH,1815,97460,1399,09/24/2019,08/29/2019,35000,40.494313,-79.916465,2956,79022,15212,Middle Street,Pennsylvania,80600.0,2019,SingleFamily,1920
10,,2.0,3,PGH,1740,,254,01/01/1970,09/03/2009,170000,40.465245,-80.003011,2500,,15214,Peekskill Street,Pennsylvania,68700.0,2019,SingleFamily,1905
11,,2.0,3,PGH,1296,,2243,01/01/1970,NA,NA,40.466925,-80.004728,2500,,15214,Peekskill Street,Pennsylvania,38800.0,2019,SingleFamily,1920
12,,1.0,0,PGH,2080,,2029,01/01/1970,09/06/2019,123000,40.377916,-79.887136,3023,,15212,Parkway North,Pennsylvania,1000.0,2019,SingleFamily,1913
13,41148,1.0,2,PGH,1096,54315,414,09/24/2019,07/22/2005,13000,40.467506,-80.005295,2500,29215,15214,Suffolk Street,Pennsylvania,29700.0,2019,SingleFamily,1930
14,38226,1.0,2,PGH,1664,52752,2114,09/24/2019,07/22/2014,22250,40.46492,-80.008844,3240,25229,15214,Letsche Street,Pennsylvania,32000.0,2019,SingleFamily,1919
15,,1.0,2,PGH,1622,,19,01/01/1970,06/16/2011,1000,40.461446,-80.004668,2000,,15214,Lanark Street,Pennsylvania,25000.0,2019,SingleFamily,1900
16,147645,3.0,3,PGH,1566,178650,399,09/24/2019,08/26/2015,57500,40.46381,-80.006003,2970,119592,15214,Marsonia Street,Pennsylvania,76800.0,2019,SingleFamily,1920
17,51797,1.0,3,PGH,1410,76660,1725,09/24/2019,05/19/2017,18000,40.462024,-80.002897,2761,36258,15212,Warren Street,Pennsylvania,36800.0,2019,SingleFamily,1900
18,,1.0,4,PGH,1600,,1615,01/01/1970,05/24/2019,57500,40.46083,-80.00516,2299,,15214,Meadville Street,Pennsylvania,56600.0,2019,SingleFamily,1885
19,,NA,0,PGH,NA,,600,01/01/1970,NA,NA,40.46733,-80.003309,2700,,15214,Suffolk Street,Pennsylvania,4900.0,2019,SingleFamily,NA
20,,NA,0,PGH,NA,,1502,01/01/1970,NA,NA,40.459618,-80.000823,2449,,15212,Compromise Street,Pennsylvania,4400.0,2019,SingleFamily,NA
21,43998,1.0,3,PGH,1740,48398,2111,09/24/2019,12/05/2017,40000,40.468659,-79.977918,2970,40038,15212,Parkway North,Pennsylvania,54300.0,2019,SingleFamily,1925
22,,1.0,2,PGH,896,,1,01/01/1970,11/21/2000,22000,40.496247,-79.856033,1760,,15212,Fountain Street,Pennsylvania,29800.0,2019,Townhouse,1918
23,,1.0,3,PGH,1280,,1722,01/01/1970,08/31/2001,14000,40.461843,-80.005234,2000,,15214,Meadville Street,Pennsylvania,37500.0,2019,SingleFamily,1900
24,100443,1.0,3,PGH,1088,128567,43,09/24/2019,NA,NA,40.425176,-80.077253,5766,74328,15212,Fountain Street,Pennsylvania,71300.0,2019,SingleFamily,1923
25,,2.0,4,PGH,1680,,62,01/01/1970,NA,NA,40.464383,-80.008536,1476,,15214,Olive Street,Pennsylvania,34500.0,2019,Duplex,1910
26,118347,1.5,3,PGH,1144,134916,414,09/24/2019,09/18/2015,58000,40.465407,-80.007353,5000,87577,15212,Fineview Avenue,Pennsylvania,50500.0,2019,SingleFamily,1946
27,,1.0,3,PGH,1406,,4,01/01/1970,12/15/1999,7500,40.461248,-80.002908,2088,,15212,Edenvale Street,Pennsylvania,28400.0,2019,SingleFamily,1900
28,115862,1.0,3,PGH,1480,165683,71,09/24/2019,06/15/1999,4000,40.458665,-80.002996,3880,64883,15212,Fountain Street,Pennsylvania,43200.0,2019,SingleFamily,1910
29,,1.5,3,PGH,1978,,625,01/01/1970,01/28/2000,5000,40.464332,-80.001455,3200,,15212,Rising Main Avenue,Pennsylvania,20200.0,2019,SingleFamily,1900
30,98052,1.0,2,PGH,1188,125507,2219,09/24/2019,NA,NA,40.466212,-80.007576,8581,58831,15214,Osgood Street,Pennsylvania,46500.0,2019,SingleFamily,1955
31,,2.5,3,PGH,3016,,249,01/01/1970,04/01/2008,27000,40.459767,-80.002702,2214,,15212,Henderson Street,Pennsylvania,21600.0,2019,SingleFamily,1947
32,,1.0,1,PGH,1088,,643,01/01/1970,01/08/2014,2405,40.464398,-80.00118,2400,,15212,Rising Main Avenue,Pennsylvania,50800.0,2019,SingleFamily,1900
33,,1.0,2,PGH,1338,,11,01/01/1970,NA,NA,40.462353,-80.007734,2000,,15214,Belleau Street,Pennsylvania,46800.0,2019,SingleFamily,1900
34,166528,2.0,3,PGH,1125,186511,128,09/24/2019,08/11/2016,152000,40.459154,-80.003067,990,146545,15212,Henderson Street,Pennsylvania,89900.0,2019,SingleFamily,1943
35,,1.0,2,PGH,1152,,30,01/01/1970,11/27/2002,43500,40.471315,-79.985217,2500,,15212,Carrie Street,Pennsylvania,33600.0,2019,SingleFamily,1900
36,42065,1.0,4,PGH,1632,58050,617,09/24/2019,05/15/2015,5799,40.467574,-80.002678,2500,28604,15214,Suffolk Street,Pennsylvania,32200.0,2019,SingleFamily,1920
37,,3.5,7,PGH,2295,,360,01/01/1970,10/25/2013,5413,40.463783,-80.005767,1040,,15214,Rising Main Avenue,Pennsylvania,500.0,2019,SingleFamily,1910
38,470658,2.5,4,PGH,3040,513017,2199,09/24/2019,12/30/1993,255000,40.56801,-80.067732,26830,433005,15212,Parkway North,Pennsylvania,319700.0,2019,SingleFamily,1974
39,,1.0,4,PGH,1590,,302,01/01/1970,NA,NA,40.460697,-80.004561,2300,,15214,Catoma Street,Pennsylvania,40600.0,2019,SingleFamily,1900
40,48475,1.0,3,PGH,1720,66896,1720,09/24/2019,06/26/2006,9500,40.462202,-80.002334,2000,29085,15212,Warren Street,Pennsylvania,43700.0,2019,SingleFamily,1900
41,138776,1.0,3,PGH,1188,158205,1721,09/24/2019,04/10/2019,85000,40.461968,-80.004809,6000,120735,15214,Lanark Street,Pennsylvania,77100.0,2019,SingleFamily,1962
42,259996,4.0,3,PGH,1394,285996,2251,09/24/2019,10/16/2017,235000,40.466824,-80.005777,17424,236596,15214,Hazelton Street,Pennsylvania,102600.0,2019,SingleFamily,1995
43,236729,2.0,3,PGH,1242,260402,201,09/24/2019,11/24/2017,214900,40.51651,-79.998075,10732,215423,15212,Henderson Street,Pennsylvania,155800.0,2019,SingleFamily,1948
